school_name,state,start_date,end_date,news_link,notes
"Carlifonia Polytechnic Stata University, San Luis Obispo",CA,2020-04-06,2020-04-19,https://chw.calpoly.edu/coronavirus,Spring break has been extended by one week.
Carnegie Mellon University,PA,2020-03-16,,https://www.cmu.edu/leadership/president/campus-comms/2020/2020-03-11.html,
Carthage College,WI,2020-03-23,,,"Carthage will extend our spring break by one week (March 16-20). Beginning Monday, March 23, all undergraduate and graduate classes will resume through remote teaching and learning. "
Cascadia College,WA,2020-03-09,,http://www.cascadia.edu/services/emergency/coronavirus.aspx,
Case western reserve university ,OH,2020-03-18,2020-04-06,https://case.edu/studentlife/healthcounseling/health-serviceshealth-updates/march-10-message-campus-moving-remote-delivery-courses-information-students-living-campus,
Central Connecticut State University,CT,2020-03-13,,https://www.ccsu.edu/coronavirus/,"Central Connecticut State University Closed on 3/12 10:40am, until further notice. Spring break 3/16-3/22. Resume classes online 3/23 until at least 4/5."
Chapman University,CA,2020-03-12,,https://blogs.chapman.edu/public-safety/2020/03/11/march-11-classes-move-online-march-12/,
Cheyney University,PA,2020-03-16,2020-03-23,https://cheyney.edu/novel-coronavirus/,
City College of San Francisco ,CA,2020-03-12,2020-03-30,https://www.ccsf.edu/en/about-city-college/marketing_publications/news---events/ccsf-community-messages.html,
Clemson University,SC,2020-03-23,2020-04-05,https://newsstand.clemson.edu/mediarelations/classes-to-move-online-march-23-until-at-least-march-30-in-response-to-covid-19-outbreak/?utm_source=homepage-feature,Classes to move online March 23 until at least March 30 in response to COVID-19 outbreak
Cleverland State University,OH,,,https://www.csuohio.edu/coronavirus-update/coronavirus-update,Cleverland State University extend Spring Break another week and to shift classes to remote delivery and cancel on-campus classes when classes resume on March 23. We will deliver classes in this way through April 10 with the intent to resume on-campus classes on April 13
Colby College,ME,2020-03-30,,https://www.centralmaine.com/2020/03/12/colby-college-announces-classes-will-end-this-week-students-to-leave-campus/,"Remote courses will begin on Monday, March 30 after the spring break, and continue through the normal schedule of classes and finals."
Colgate University ,NY,2020-03-16,2020-04-19,https://www.syracuse.com/coronavirus/2020/03/coronavirus-colgate-becomes-3rd-cny-university-to-move-to-online-classes.html,
College of William & Mary,VA,2020-03-12,2020-04-03,https://www.wm.edu/news/announcements/2020/informational-health-advisory.php,"Starting March 12, through April 3, interim policies for events and travel. All in-person classes are suspended. Classes will resume online starting Monday, March 23. "
Colorado College,CO,2020-03-18,,https://www.coloradocollege.edu/other/coronavirus/,
Columbia University,NY,2020-03-09,,https://preparedness.columbia.edu/news/update-covid-19-and-spring-term-plans,
Concordia University Irvine,CA,2020-03-13,,https://www.cui.edu/en-us/studentlife/wellness-center/communication-to-cui-community-on-coronavirus-disease-2019-covid19,"Starting Friday, March 13, all face-to-face and hybrid classes are cancelled to allow a smooth and orderly transition to the online format. These classes will resume online on Wednesday, March 18."
Coppin State University,MD,2020-03-14,,https://www.wbaltv.com/article/university-system-of-maryland-schools-to-prepare-for-remote-instruction-following-spring-break/31351840,
Cornell University,NY,2020-03-16,2020-04-05,https://statements.cornell.edu/2020/20200313-5MTe7Z-update-on-classes.cfm,"Effective at 5 p.m. today (March 13), we are suspending all classes on the Ithaca campus for three weeks, irtual instruction will begin for all classes on Monday, April 6."
Cornish University,WA,2020-03-16,2020-03-27,http://www.cornish.edu/novel-coronavirus-covid-19-information-resources/,
Curry College,MA,2020-03-11,,https://www.curry.edu/student-life/health-and-wellness/health-services/coronavirus-(covid-19)-information,
Dakota State University,SD,2020-03-16,2020-05-08, https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
Dartmouth College,NH,2020-03-30,2020-05-01,https://www.thedartmouth.com/article/2020/03/dartmouth-moves-to-online-classes-for-first-half-of-spring-term,Dartmouth College moved all classes online for the spring term first five weeks of spring term (until May 1).
Davidson college,NC,2020-03-13,,https://www.davidson.edu/alert/covid-19,"All classes are cancelled tomorrow, Friday, March 13, through Tuesday, March 17. "
Denison University ,OH,2020-03-23,,https://denison.edu/campus/covid19/wh/135022,
Depaul University,IL,2020-03-16,,https://resources.depaul.edu/coronavirus-covid-19-updates/Pages/default.aspx,"Depaul university departments and divisions will operate remotely beginning Monday, March 16, 2020. Further information will be shared in the coming week regarding the duration of the teleworking period."
Dickinson College,PA,2020-03-16,2020-03-21,https://www.dickinson.edu//homepage/1380/covid-19_dashboard,Spring break extended until March 21.
Drew University ,NJ,2020-03-11,,http://www.drew.edu/1/emergency-information/coronavirus-disease-2019-covid-19/#3-10,
Duke University,NC,2020-03-10,,https://coronavirus.duke.edu/2020/03/10/community-update-changes-to-spring-break-and-classes-new-travel-restrictions/,
East Stroudsburg University,PA,2020-03-11,2020-03-23,http://quantum.esu.edu/insider/esu-delays-student-return-from-spring-break-for-one-week-to-prepare-for-remote-delivery-of-classes/,
Edinboro University,PA,2020-03-16,2020-04-06,https://www.edinboro.edu/directory/offices-services/ehs/ready/coronavirus,
Emerson College ,MA,2020-03-13,,https://today.emerson.edu/2020/03/10/update-on-covid-19-moving-classes-online/?_ga=2.225502938.1143468528.1584068149-1310907197.1584068149,
Emmanuel College,MA,,2020-03-30,https://www.emmanuel.edu/covid-19/announcements/coronavirus-response-major-update.html,
Emory University,GA,2020-03-09,2020-03-22,https://www.emory.edu/coronavirus/messages/index.html?m=message-all-remote-learning,Spring Break extension and remote learning
Everett Community College,WA,2020-03-09,,http://www.everettcc.edu/administration/cwt-security/security/emergency-management/resources/covid-19-novel-coronavirus,
Farleigh Dickinson University ,NJ,2020-03-16,,https://www.fdu.edu/coronavirus-update/,
Florida Atlantic University,FL,2020-03-16,2020-03-30,http://www.fau.edu/coronavirus/,Remote classes
Florida State University,FL,2020-03-20,,https://news.fsu.edu/news/2020/03/11/fsu-shifts-from-in-person-classes-to-remote-classes-march-23-for-two-weeks/,FSU shifts from in-person classes to remote classes March 23 for two weeks
Fordham University,NY,2020-03-09,,https://www.fordham.edu/coronavirus,
Frostburg State University,MD,2020-03-14,,https://www.wbaltv.com/article/university-system-of-maryland-schools-to-prepare-for-remote-instruction-following-spring-break/31351840,
George Mason University,VA,2020-03-23,2020-04-03,https://www2.gmu.edu/coronavirus,Spring Break extension and remote learning
George Washington University,DC,2020-03-23,,https://campusadvisories.gwu.edu/covid-19-updates-president-leblanc,
Georgetown University,DC,2020-03-16,,https://www.georgetown.edu/coronavirus/,
Georgia Institute of Technology,GA,2020-03-23,,http://health.gatech.edu/coronavirus,"Georgia Tech will be moving all instruction to a distance format after spring break. We will use the week of March 23 as a trial and practice run, and will formally restart classes on March 30."
Gettysburg College,PA,2020-03-11,2020-03-22,https://www.gettysburg.edu/offices/health-counseling-services/coronavirus-information/,
Grinnell College,IA,2020-03-13,,https://www.grinnell.edu/news/important-covid-19-planning-updates,
Hamilton College,NY,2020-03-30,,https://www.hamilton.edu/offices/healthcenter/coronavirus,Hamilton College will shift to online education immediately following spring break.
Harkham Hillel Hebrew Academy,CA,,,https://patch.com/california/beverlyhills/amp/28627895/beverly-hills-jewish-school-closes-amid-coronavirus-concerns,
Harrisburg University,PA,2020-03-16,2020-04-23,https://covid.harrisburgu.edu/,
Harvard University,MA,2020-03-14,,https://www.harvard.edu/covid-19-moving-classes-online-other-updates,
Haverford College,PA,2020-03-16,2020-04-06,https://docs.google.com/document/d/1iVgCKoUCKRnUN1168h32QFbnNIkqeKX9T7HgnH7xtPA/edit,
Helen Carr Castello Elementary School,CA,,,,
Hofstra University ,NY,2020-03-08,,https://www.hofstra.edu/studentaffairs/studentservices/welctr/novel-coronavirus.html,
Indiana University,IN,2020-03-15,2020-04-06,https://news.iu.edu/stories/2020/03/iu/releases/10-suspend-classroom-teaching-for-two-weeks-after-spring-break.html,remote classes after spring break
Iona College,NY,2020-03-09,,https://www.iona.edu/student-life/health-wellness-safety/information-on-coronavirus.aspx,
Iowa State University,IA,2020-03-23,2020-04-03,https://www.news.iastate.edu/news/2020/03/11/onlineclassespostspringbreak,
James Madison University,VA,2020-03-23,2020-04-05,https://www.jmu.edu/news/2020/03/11-covid-19-update.shtml,"JMU will not hold in-person classes the week of March 16. Beginning March 23, most JMU classes will move online until at least April 5. "
John Jay College of Criminal Justice,NY,2020-03-11,,https://www.jjay.cuny.edu/coronavirus-updates,
Johns Hopkins University,MD,2020-03-11,2020-04-12,https://hub.jhu.edu/novel-coronavirus-information/,
Kansas State University,KS,2020-03-23,,https://www.k-state.edu/covid-19/index.html,"K-State is suspending in-person classes the week of March 16-20. Beginning Monday, March 23, classes will be taught remotely \u2014 not in person \u2014 until further notice."
Kean University ,NJ,2020-03-16,,https://www.kean.edu/coronavirus-information#virus,
Kennesaw State University,GA,2020-03-16,,https://coronavirus.kennesaw.edu/,Kennesaw State University will suspend normal operation March 16 and 17 and change to remote learning from March 18.
Kent State University ,OH,2020-03-10,2020-04-13,https://www.kent.edu/coronavirus,
Kenyon College,OH,2020-03-11,2020-03-28,https://blogs.kenyon.edu/campus-report/post/latest-covid-19-update-from-president-decatur/?from=groupmessage&isappinstalled=0,"Kenyon College delays the reopening of student residences until Saturday, 3/28 5 p.m. "
Kutztown University,PA,2020-03-11,2020-03-21,https://www.kutztown.edu/news-and-media/announcements/health-update.html,
Lake Area Technical Institute,SD,2020-03-16,2020-05-08, https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
Lake Washington Institute of Technology,WA,2020-03-09,2020-04-05,https://www.lwtech.edu/news/coronavirus-covid-19-information-and-resources/,
Lehigh University,PA,2020-03-16,2020-05-13,https://www2.lehigh.edu/news/31220-lehigh-moves-to-remote-learning-for-remainder-of-academic-semester,"Lehigh University conducts classes remotely for the remainder of the semester, effective Mar. 16, 2020"
Lock Haven University,PA,2020-03-11,2020-04-06,http://www.lockhaven.edu/News/COVID-19_03.11.2020.html,
Longwood University ,VA,2020-03-11,2020-03-18,https://www.richmond.com/special-report/coronavirus/updated-in-first-richmond-area-case-hanover-teenager-tests-positive/article_55e267a5-0ff9-5a9d-9b3f-6d1d47a8931b.html,
Lourdes University ,OH,2020-03-16,2020-04-01,https://www.lourdes.edu/campus-life/coronavirus/,
Loyola Marymount University,CA,2020-03-16,2020-03-31,https://www.lmu.edu/coronavirus/communitymessages/messagefromthepresidentonlineinstruction/,moving in-person classes to online \u8fdc\u7a0b\u6388\u8bfe
Loyola Univeristy (MD),MD,2020-03-11,2020-03-31,https://www.loyola.edu/emergency-information,
Loyola university Chicago,IL,2020-03-13,,https://www.luc.edu/coronavirus/,
Macalester College,MN,2020-03-23,,https://www.macalester.edu/healthandwellness/covid-19/,
Manhattan College,NY,2020-03-09,,https://manhattan.edu/coronavirus-updates/index.php,
Mary Washington University,VA,2020-03-16,2020-04-03,https://www.umw.edu/advisories/coronavirus/,"All in-person class meetings will be suspended and instruction will be moving to online and alternate learning options for a three-week period beginning on Monday, March 16, and continuing through Friday, April 3,"
Maryville Univeristy ,MO,2020-03-16,2020-03-30,https://www.maryville.edu/maryville-university-moves-to-virtual-course-platform-for-two-weeks/,
Massachusetts Institute of Technology,MA,2020-03-30,,https://medical.mit.edu/news/2020/01/2019-novel-coronavirus-updates-1,
Miami University,OH,2020-03-11,2020-04-12,https://www.miamioh.edu/coronavirus/,
Michigan State University,MI,2020-03-11,2020-04-20,https://msu.edu/coronavirus/,
Michigan Technological University,MI,2020-03-16,,https://www.mtu.edu/covid-19/,"Michigan Tech suspends face-to-face instruction, effective March 16, 2020"
Middlebury College,VT,2020-03-13,2020-03-29,https://www.middlebury.edu/office/announcements/previous-announcements/covid-19-remote-instruction-and-other-measures,
Millersville University,PA,2020-03-21,,https://www.millersville.edu/coronavirus/,
Minnesota Public Schools,MN,2020-03-18,2020-03-25,https://www.twincities.com/2020/03/15/mn-coronavirus-schools-walz-to-close-all-minnesota-public-schools-for-8-school-days-starting-wednesday-for-covid-19/,"Minnesota Gov. Tim Walz announced Sunday he will close all K-12 public schools statewide, beginning Wednesday, for eight school days, so schools can prepare for potentially longer closures as the coronavirus spreads."
Mitchell Technical Institute,SD,2020-03-16,2020-05-08, https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
Molloy College,NY,2020-03-11,,https://www.molloy.edu/molloy-life/student-health-and-wellness/coronavirus-information/coronavirus-updates,
Monmouth University,NJ,2020-03-09,,https://www.monmouth.edu/health-services/health-resources-and-referrals/covid-19/march-9-2020-classes-cancelled/,
Montclair State University,NJ,2020-03-23,,https://www.montclair.edu/university-health-center/coronavirus/faqs/,
Montgomery County Public Schools,MD,2020-03-16,2020-03-27,https://www.montgomeryschoolsmd.org/departments/publicinfo/community/school-year-2019-2020/coronavirus-update-20200312.html,"All Montgomery County Public Schools (MCPS) will close beginning Monday, March 16 and will remain closed through Friday, March 27"
Moody Bible Institute,IL,2020-03-16,,https://www.moodybible.org/coronavirus-update/,Chicago campus is asking students to move out by 03.16 and moving classes to online for the rest of the semester. 
Mount Holyoke College,MA,2020-03-13,,https://www.mtholyoke.edu/health/coronavirus,"Spring break will be extended by one week through Sunday, March 29. \u6625\u5047\u5ef6\u957f\uff1b\u4e4b\u540e\u8fdc\u7a0b\u6388\u8bfe"
Mount Saint Mary College,NY,2020-03-12,2020-03-27,https://www.msmc.edu/,
Muhlenberg College,PA,2020-03-18,2020-04-13,https://www.wfmz.com/news/area/lehighvalley/muhlenberg-college-ending-on-campus-classes-amid-coronavirus-concerns/article_a99c5a8c-6338-11ea-afa4-172fa0e33da9.html,
Nassau Community College,NY,2020-03-10,,https://ncc.edu/campusservices/health_services/covid.shtml,
